ItemNum,ItemStem_Text,Answer__A,Answer__B,Answer__C,Answer__D,Answer__E,Answer__F,Answer__G,Answer__H,Answer__I,Answer__J,Answer_Key,Answer_Text,ItemType,EXAM,Difficulty,Response_Time
532,"A 37-year-old woman comes to the office for a follow-up examination 3 weeks after testing confirmed a mass in her left breast to be benign. She says that despite the test results, she has had anxiety, insomnia, and a preoccupation with cancer since noticing the lump. Two weeks ago, she had a 20-minute episode of markedly intense anxiety characterized by heart palpitations and the fear that she was dying. She says she has always been a tense, nervous person and is uncomfortable in social situations. She says she frequently worries and is fearful of the future and apprehensive of dying. She has no other history of panic episodes, traumatic events, or serious illness and takes no medications. She does not drink alcohol or use illicit drugs. Physical examination shows a 2-cm mass in the left breast. On mental status examination, she is cooperative but worried. Her thought processes are linear, and content focuses on possible negative eventualities. Which of the following is the most likely diagnosis?",Avoidant personality disorder,Generalized anxiety disorder,Illness anxiety disorder (hypochondriasis),Persistent depressive disorder (dysthymia),Social anxiety disorder (social phobia),,,,,,B,Generalized anxiety disorder,Text,STEP 2,0.54,81.02
502,A 46-year-old woman with active ankylosing spondylitis comes to the office for a follow-up examination. The use of various conventional nonsteroidal anti-inflammatory drugs has been ineffective. Sulfasalazine treatment also has not resulted in improvement. The most appropriate next step in treatment is administration of a drug that inhibits which of the following?,CD20,Cyclooxygenase-2,Cytotoxic T-lymphocyte antigen 4,Epidermal growth factor,Interleukin-1 (IL-1),Tumor necrosis factor Î±,,,,,F,Tumor necrosis factor Î±,Text,STEP 1,0.3,64.72
85,"A 52-year-old man comes to the physician with his wife because of a 1-year history of excessive daytime sleepiness.  He does not think the symptoms are problematic, but his wife is concerned because he sometimes falls asleep on the sofa early in the evening when guests are present.  He also once fell asleep while driving at night and drove off the road, narrowly avoiding injury.  His wife says that he has always snored loudly, and over the past year, he has had episodes of choking or gasping for breath while sleeping.  He  is 178 cm (5 ft 10 in) tall and weighs 105 kg (231 lb); BMI is 33 kg/m2.  His pulse is 76/min, respirations are 14/min, and blood pressure is 150/76 mm Hg.  Physical and neurologic examinations show no other abnormalities.  Which of the following is most likely to confirm the diagnosis?",24-Hour ambulatory ECG monitoring,Multiple sleep latency test,Polysomnography,CT scan of the head,Laryngoscopy,,,,,,C,Polysomnography,Text,STEP 2,0.08,46.29
36,"A 54-year-old woman is in the out-patient surgery center for biopsy of a cervical lymph node, which was ordered because of progressive adenopathy. She was given lidocaine infiltration and heavy intravenous sedation. A left node biopsy was attempted, but when diagnostic tissue was not obtained, a right node biopsy was done. Three hours later as the patient prepares to dress for discharge home, she tells the nurse that the skin across her shoulders and up into her neck feels ""spongy and crackled."" Chest x-ray is shown. Which of the following is most appropriate to tell the patient?",The sensation is probably due to the lidocaine spreading through the subcutaneous tissue and that she can be discharged home,This is a life-threatening clostridial infection; antibiotic therapy and an emergency operation will be arranged,This is a routine problem after surgical incisions and tissue dissection to obtain biopsy material,This is probably due to the volume of intravenous fluid she has received; you will give her a dose of furosemide and discharge her home,This may be due to pleural puncture; she should be admitted to the hospital for observation,,,,,,E,This may be due to pleural puncture; she should be admitted to the hospital for observation,PIX,STEP 3,0.5,107.1
272,"A previously healthy 40-year-old woman is brought to the emergency department by her husband because of a 2-day history of fever, lethargy, and confusion. Her temperature is 38Â°C (100.4Â°F), pulse is 80/min, respirations are 18/min, and blood pressure is 140/90 mm Hg. Physical examination shows scattered petechiae and ecchymoses over the lower extremities. Neurologic examination shows moderate generalized motor weakness. She is oriented to person but not to place or time. Laboratory studies show:    Hemoglobin 9 g/dL Hematocrit 27% Leukocyte count  8000/mm3 with a normal differential Platelet count 15,000/mm3 Prothrombin time 12 sec (INR=1.1) Partial thromboplastin time 30 sec Serum Â  â€ƒUrea nitrogen 25 mg/dL â€ƒLactate dehydrogenase 1000 U/LA peripheral blood smear shows 3+ polychromasia and 3+ schistocytes. Urine and blood cultures grow no organisms. A chest x-ray shows no abnormalities. Which of the following is the most likely diagnosis?",Acute myeloid leukemia,Autoimmune hemolytic anemia,Thrombotic thrombocytopenic purpura,Toxic shock syndrome,von Willebrand disease,,,,,,C,Thrombotic thrombocytopenic purpura,Text,STEP 1,0.18,135.35
346,"A 65-year-old woman comes to the physician for a follow-up examination after blood pressure measurements were 175/105 mm Hg and 185/110 mm Hg 1 and 3 weeks ago, respectively. She has well-controlled type 2 diabetes mellitus. Her blood pressure now is 175/110 mm Hg. Physical examination shows no other abnormalities. Antihypertensive therapy is started, but her blood pressure remains elevated at her next visit 3 weeks later. Laboratory studies show increased plasma renin activity; the erythrocyte sedimentation rate and serum electrolytes are within the reference ranges. Angiography shows a high-grade stenosis of the proximal right renal artery; the left renal artery appears normal. Which of the following is the most likely diagnosis?",Atherosclerosis,Congenital renal artery hypoplasia,Fibromuscular dysplasia,Takayasu arteritis,Temporal arteritis,,,,,,A,Atherosclerosis,Text,STEP 1,0.6,87.78
273,"A 42-year-old woman comes to the physician for a routine examination. She says that she has felt well except for occasional episodes of constipation, abdominal discomfort, and mild fatigue. She was treated for a renal calculus 10 years ago and was told she had a ""lazy gallbladder."" Her pulse is 82/min, and blood pressure is 150/80 mm Hg. Physical examination shows no other abnormalities. Laboratory studies show: Erythrocyte count 3 million/mm3 Serum Â  â€ƒK+ 4.5 mEq/L â€ƒClâ€“ 107 mEq/L â€ƒCa2+ 12 mg/dL â€ƒPhosphorus 2.2 mg/dL â€ƒAlkaline phosphatase 95 U/LThe most likely cause of this patient's condition is a small, well-defined nodule in which of the following locations?",Adrenal gland,Anterior pituitary gland,Gallbladder,Kidney,Parathyroid gland,Thymus,,,,,E,Parathyroid gland,Text,STEP 1,0.24,157.58
239,"A 45-year-old man comes to the office because of severe pain of the right foot that awoke him from sleep last night. He says the pain kept him awake for the rest of the night. Walking has been difficult due to the pain, which he rates as a 9 on a 10-point scale. He reports no recent trauma. Medical history is remarkable for hypertension, type 2 diabetes mellitus, and asthma. Medications include hydrochlorothiazide, metformin, atorvastatin, and an albuterol inhaler. He is allergic to penicillin. He does not smoke cigarettes, but he has drunk three to four glasses of red wine daily for the past 5 years. Family history is significant for arthritis in his father. He is 168 cm (5 ft 6 in) tall and weighs 111 kg (245 lb); BMI is 40 kg/m2. Vital signs are temperature 37.9Â°C (100.2Â°F), pulse 100/min, respirations 16/min, and blood pressure 160/100 mm Hg. Examination of the right foot discloses erythema and increased warmth over the first toe extending over the dorsum of the foot. The involved area is very tender and the patient resists movement of his toes. There is moderate swelling of the first metatarsophalangeal joint. The remainder of the physical examination discloses no abnormalities. Results of laboratory studies are shown: Serum Â  Blood Â  â€ƒUrea nitrogen 15 mg/dL â€ƒHemoglobin 16 mg/dL â€ƒCreatinine 1.0 mg/dL â€ƒWBC 12,500/mm3Examination of joint aspirate shows a leukocyte count of 50,000/mm3; no organisms are seen on Gram stain. Which of the following is the most appropriate pharmacotherapy to treat this patient's acute condition?",Acetaminophen,Allopurinol,Ceftriaxone,Indomethacin,Vancomycin,,,,,,D,Indomethacin,Text,STEP 3,0.3,93.92
547,"A 50-year-old man comes to the office because of a 2-month history of increasing daytime somnolence. He has obstructive sleep apnea for which he has only intermittently used a continuous positive airway pressure device. He is 170 cm (5 ft 7 in) tall and weighs 181 kg (400 lb); BMI is 63 kg/m2. His temperature is 37Â°C (98.6Â°F), pulse is 100/min, respirations are 12/min, and blood pressure is 135/80 mm Hg. Physical examination shows a gray-blue tinge to the lips, earlobes, and nail beds. Cardiac examination shows no other abnormalities. Arterial blood gas analysis on room air shows a pH of 7.31, Pco2 of 70 mm Hg, and Po2 of 50 mm Hg. Which of the following additional findings would be most likely in this patient?",Decreased serum bicarbonate concentration,Increased hemoglobin concentration,Increased total lung capacity,Left ventricular hypertrophy,,,,,,,B,Increased hemoglobin concentration,Text,STEP 1,0.36,107.04
571,"A 25-year-old woman comes to the office because of a 6-month history of increasingly severe low back pain and heavy menses. Her temperature is 37.1Â°C (98.8Â°F), pulse is 75/min, respirations are 13/min, and blood pressure is 115/79 mm Hg. Physical examination shows no abnormalities. An endometrial biopsy specimen shows regular tubular endometrial glands with abundant mitotic figures in the endometrial glands and stroma. Which of the following proteins or enzymes regulate the progression of cells into this phase of this patient's menstrual cycle?",AMP-dependent kinases,Cyclin-dependent kinases,Hexokinases,Lipid kinases,Urokinases,,,,,,B,Cyclin-dependent kinases,Text,STEP 1,0.2,75.3
177,"A 67-year-old man is brought to the emergency department because of a 1-week history of nausea, generalized weakness, and malaise. He has congestive heart failure, hypertension, and coronary artery disease. Current medications include lisinopril, digoxin, isosorbide, spironolactone, and metoprolol. His temperature is 37.2Â°C (99Â°F), pulse is 88/min, and blood pressure is 140/90 mm Hg. Examination shows a soft abdomen. There is 2+ edema in the lower extremities. Laboratory studies show: Hematocrit 36% Leukocyte count 10,000/mm3 Serum Â  â€ƒNa+ 140 mEq/L â€ƒK+ 7.3 mEq/L â€ƒHCO3âˆ’ 18 mEq/L â€ƒUrea nitrogen 40 mg/dL â€ƒCreatinine 1.8 mg/dL â€ƒAST 20 U/LUrinalysis shows no abnormalities. Which of the following is the most likely explanation for this patient's hyperkalemia?",Adverse effect of medications,Laboratory error,Metabolic acidosis,Renal failure,Rhabdomyolysis,,,,,,A,Adverse effect of medications,Text,STEP 2,0.62,111.73
444,"A new diagnostic test for HIV infection is developed. The new serum biomarker concentration is measured in 711Â men and women, ages 25 to 65Â years. Of these individuals, 336 were previously determined to have HIV and 375 do not have HIV. Stratified results of the new serum biomarker test are shown: New Serum Biomarker Number of Individuals Number of Individuals Concentration Positive for HIV (Total=336) Negative for HIV (Total=375) >100 U/mL 120 10 76â€“100 U/mL 100 30 51â€“75 U/mL 75 75 26â€“50 U/mL 30 60 0â€“25 U/mL 11 200Which of the following is the likelihood ratio that is associated with a serum biomarker concentration greater than 100Â U/mL?",2,8,13,25,33,,,,,,C,13,Text,STEP 3,0.9,229.43
284,"A 32-year-old woman comes to the emergency department because of a 3-day history of worsening fever, dry cough, and shortness of breath. She also has had abdominal discomfort, diarrhea, and nausea, but she has not vomited. She returned home from a business trip to a midwestern city 2 days ago. She has had no known contact with any ill individuals. She had been generally healthy and medical history is unremarkable. She takes no medications. Her last menstrual period was 6 weeks ago and she thinks she might be pregnant. She does not smoke cigarettes, drink alcoholic beverages, or use illicit drugs. She is married and uses no contraception. She appears well developed and well nourished but is short of breath and lethargic. Vital signs are temperature 38.3Â°C (101.0Â°F), pulse 104/min, respirations 28/min, and blood pressure 100/60 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 92%. Auscultation of the chest discloses crackles at the right lung base, tachycardia, a normal S1 and S2, and no other abnormalities. Abdominal examination discloses no abnormalities. Petechiae are present over both lower extremities. Results of laboratory studies are shown: Serum Â  Blood Â  â€ƒALT 80 U/L â€ƒHematocrit 30.3% â€ƒAST 63 U/L â€ƒHemoglobin 10.2 g/dL â€ƒUrea nitrogen 14 mg/dL â€ƒWBC 11,300/mm3 â€ƒCreatinine 1.7 mg/dL â€ƒMCV 76 Î¼m3 â€ƒNa+ 130 mEq/L â€ƒPlatelet count 104,000/mm3 â€ƒK+ 3.9 mEq/L â€ƒRed cell distribution width 16% (N=11.5â€“14.5) â€ƒClâˆ’ 104 mEq/L Â  Â  â€ƒHCO3âˆ’ 16 mEq/L Â  Â  â€ƒIron, total 18 Î¼g/dL Â  Â  â€ƒIron binding capacity, total 428 Î¼g/dL (N=250â€“350) Â  Â  â€ƒIron saturation 5% (N=20â€“50) Â  Â  â€ƒÎ²-hCG Positive Â  Â Which of the following is the most appropriate intravenous pharmacotherapy at this time?",Cefuroxime alone,Cefuroxime and azithromycin,Levofloxacin alone,Levofloxacin and ticarcillin,Piperacillin-tazobactam,,,,,,B,Cefuroxime and azithromycin,Text,STEP 3,0.84,149.36
130,"A 52-year-old woman comes to the emergency department because of a 1-week history of low-grade fever and increasing abdominal cramps that are exacerbated by bowel movements. She began a course of amoxicillin-clavulanate and metronidazole 2 days ago but has had no relief of her symptoms. She has had intermittent constipation for the past 12 years. She has not had nausea, vomiting, urinary symptoms, or bloody stools. She has a 3-year history of hypertension. She underwent total abdominal hysterectomy and bilateral salpingo-oophorectomy 5 years ago because of leiomyomata uteri. She is 165 cm (5 ft 5 in) tall and weighs 86 kg (190 lb); BMI is 32 kg/m2. Her temperature is 38.1Â°C (100.6Â°F), pulse is 75/min, and blood pressure is 150/80 mm Hg. The lungs are clear to auscultation. Cardiac examination shows no abnormalities. The abdomen is soft, and there is tenderness to palpation of the left lower quadrant with guarding but no rebound. Bowel sounds are normal. The stool is brown, and test for occult blood is negative. Her hemoglobin concentration is 14.5 g/dL, leukocyte count is 15,000/mm3, and platelet count is 280,000/mm3; serum studies and urinalysis show no abnormalities. Which of the following is the most appropriate next step in diagnosis?",Examination of the stool for ova and parasites,Test of the stool for Clostridium difficile toxin,Endoscopic retrograde cholangiopancreatography,Pelvic ultrasonography,CT scan of the abdomen with contrast,Colonoscopy,,,,,E,CT scan of the abdomen with contrast,Text,STEP 2,1.0,149.51
237,"An 18-year-old woman with sickle cell disease is brought to the emergency department by her parents because of a 2-hour history of severe abdominal pain and nausea. Her parents say that she had a cheeseburger, milk shake, and chocolate bar for lunch. Her temperature is 37Â°C (98.6Â°F). Physical examination shows tenderness over the right upper quadrant of the abdomen, radiating to the right shoulder. Ultrasonography of the right upper quadrant of the abdomen shows gallstones. Which of the following is the most likely underlying cause of this patient's current condition?",Decreased hepatic secretion of lecithin,Decreased reabsorption of bile salts,High ratio of cholesterol to bile acids in bile,Infestation with parasites secreting Î²-glucuronidase,Overload of unconjugated bilirubin,,,,,,E,Overload of unconjugated bilirubin,Text,STEP 1,0.68,87.96
156,"A 72-year-old woman with advanced ovarian cancer metastatic to the liver is brought to the physician by her son because she cries all the time and will not get out of bed. On a 10-point scale, she rates the pain as a 1 to 2. She also has hypertension and major depressive disorder. She has received chemotherapy for 2 years. Current medications also include oxycodone (10 mg twice daily), hydrochlorothiazide (25 mg/d), and fluoxetine (20 mg/d). She is 165 cm (5 ft 5 in) tall and weighs 66 kg (145 lb); BMI is 24 kg/m2. Her temperature is 37Â°C (98.6Â°F), pulse is 110/min, respirations are 12/min, and blood pressure is 120/80 mm Hg. Examination shows a firm, distended abdomen with moderate tenderness over the liver. On mental status examination, she is oriented to person, place, and time. She has good eye contact but appears sad and cries easily. Which of the following is the most appropriate next step in management?",Reassurance,Assess for suicidal ideation,Begin dextroamphetamine therapy,Increase oxycodone dosage,Restart chemotherapy,,,,,,B,Assess for suicidal ideation,Text,STEP 2,0.08,64.66
58,"A 37-year-old woman, gravida 5, para 4, at 34 weeks' gestation comes to the emergency department because of vaginal bleeding for 2 hours.  She has had no prenatal care.  Her second child was delivered by lower segment transverse cesarean section because of a nonreassuring fetal heart rate; her other three children were delivered vaginally.  Her pulse is 92/min, respirations are 18/min, and blood pressure is 134/76 mm Hg.  The abdomen is nontender, and no contractions are felt.  There is blood on the vulva, the introitus, and on the medial aspect of each thigh.  The fetus is in a transverse lie presentation.  The fetal heart rate is 144/min.  Which of the following is the most likely diagnosis?",Abruptio placentae,Amniotic fluid embolism,Latent phase of labor,Placenta previa,Ruptured uterus,Ruptured vasa previa,,,,,D,Placenta previa,Text,STEP 2,0.36,80.64
31,A new test has been developed to detect the presence of a tumor-specific protein in serum.  The initial evaluation of this test shows: Â  Â  Tumor Â  Â  Â  Present Absent Â  Test Result Positive 40 20 60 Negative 10 30 40 Â  Â  50 50 100Which of the following is the likelihood that a patient with a positive test from this sample has a tumor?,0.25,0.33,0.67,0.75,0.8,,,,,,C,0.67,Text,STEP 1,0.1,67.9
234,"A 45-year-old woman comes to the office because she has noticed during the past several months that her fingernails have become white, increasingly brittle, and seem to lift off her nail beds easily. During this time, she also has had episodes of feeling warm and perspiring. Medical history is remarkable for intravenous drug use 25 years ago. The patient takes only a multivitamin. Last menstrual period was 3Â weeks ago. She appears thin and mildly anxious. She is 170Â cm (5Â ftÂ 7Â in) tall and weighs 48.5Â kg (107Â lb); BMI is 17 kg/m2. Vital signs are temperature 37.0Â°C (98.6Â°F), pulse 106/min, respirations 20/min, and blood pressure 136/92Â mmÂ Hg. Physical examination of the hands shows a white discoloration of the nail beds. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?",Chronic obstructive pulmonary disease,Diabetes mellitus,Endocarditis,Hyperthyroidism,Perimenopause,,,,,,D,Hyperthyroidism,Text,STEP 3,0.26,68.78
481,"A 5-year-old girl is brought to the office by her mother because of a 6-hour history of bloody diarrhea. She is interactive and in no acute distress. Her blood pressure is 90/55 mm Hg. Abdominal examination shows normoactive bowel sounds. Stool cultures are obtained, and the patient's mother is advised to give the girl plenty of fluids. Five days later, the patient develops decreased urine output and is brought back to the office. Her blood pressure is now 135/88 mm Hg. Physical examination shows pallor. Laboratory studies show: Hemoglobin 8.5 g/dL (N=11â€“15) Hematocrit 26% (N=28%â€“45%) Platelet count 45,000/mm3 (N=150,000â€“400,000) Serum creatinine 3.3 mg/dL (N=0.3â€“0.7)Which of the following infectious agents is the most likely cause of these findings?",Campylobacter jejuni,Escherichia coli,Rotavirus,Salmonella enterica serovar enteritidis,Yersinia pestis,,,,,,B,Escherichia coli,Text,STEP 1,0.12,71.45
316,"A 27-year-old man comes to the physician because of a 1-month history of progressive fatigue and episodes of moderate abdominal pain. He has a 4-year history of recurrent nosebleeds that have increased in frequency despite undergoing cauterization of the nasal mucosa 6 months ago. He takes no medications. His sister has anemia associated with recurrent nosebleeds and heavy menstrual periods; she also had postpartum hemorrhage that required transfusion. The patient's vital signs are within normal limits. Examination shows pallor; no other abnormalities are noted. Laboratory studies show: Hemoglobin 7.1 g/dL Erythrocyte count 2.1 million/mm3 Leukocyte count 13,500/mm3 Platelet count 250,000/mm3 Prothrombin time 12 sec (INR=1) Partial thromboplastin time 45 secWhich of the following is the most likely diagnosis?",Bernard-Soulier syndrome,Glanzmann thrombasthenia,Hemophilia A,Hereditary hemorrhagic telangiectasia,von Willebrand disease,,,,,,E,von Willebrand disease,Text,STEP 2,0.5,107.84
428,"A 17-year-old girl is brought to the physician by her mother because she has not had a menstrual period for 6 months. The patient is unconcerned about the lack of menses. Menarche occurred at the age of 12 years, and menses had occurred at regular 28-day intervals until they became irregular 1 year ago. She is a member of her high school gymnastics team. She appears emaciated. She is 163 cm (5 ft 4 in) tall and weighs 40 kg (88 lb); BMI is 15 kg/m2. Her pulse is 54/min, and blood pressure is 80/50 mm Hg. Which of the following is the most likely cause of this patient's amenorrhea?",Hyperthyroidism,Hypogonadotropic hypogonadism,Hypothyroidism,Polycystic ovary syndrome,Prolactinoma,,,,,,B,Hypogonadotropic hypogonadism,Text,STEP 1,0.1,51.34
